generation,mean_error,min_error,mean_non_struct_ef,min_non_struct_ef,mean_non_sem_ef,min_non_sem_ef
0,16.63,3.8,0.68875,0.125,0.7275,0.25
1,16.71,7.8,0.676864,0.125,0.725273,0.375
2,16.98,7.8,0.665429,0.125,0.723414,0.375
3,15.645,5.8,0.667664,0.125,0.715434,0.375
4,14.89,1.8,0.705106,0.125,0.729416,0.25
5,14.106,5.8,0.713609,0.25,0.736322,0.428571
6,13.404,4.7,0.71956,0.375,0.744976,0.375
7,12.359,3.7,0.728124,0.428571,0.745386,0.428571
8,11.675,2.7,0.720877,0.333333,0.730239,0.333333
9,11.411,3.7,0.73534,0,0.741701,0
10,10.86,3.7,0.739812,0.2,0.749784,0.4
11,11.107,4.7,0.743005,0.333333,0.744719,0.333333
12,11.445,4.8,0.744092,0.333333,0.751972,0.333333
13,11.472,2.7,0.724084,0.333333,0.733512,0.333333
14,10.886,4.2,0.739425,0.2,0.742925,0.2
15,10.975,3.7,0.730438,0.4,0.730438,0.4
16,10.156,4.4,0.715962,0.2,0.718121,0.2
17,10.391,4.4,0.728343,0.5,0.736843,0.5
18,10.504,2.8,0.732352,0.25,0.734463,0.25
19,10.613,3.8,0.736681,0.428571,0.74315,0.5
20,10.33,4.2,0.761906,0.5,0.764584,0.625
21,10.593,4.7,0.749441,0.5,0.751941,0.5
22,10.813,4.2,0.749985,0.5,0.754092,0.5
23,11.494,4.2,0.728446,0.428571,0.732553,0.428571
24,10.809,1.2,0.738689,0.5,0.744047,0.5
25,10.843,3.5,0.75899,0.428571,0.765955,0.6
26,10.663,4.5,0.747404,0.6,0.747404,0.6
27,10.735,4.7,0.737016,0.333333,0.738266,0.333333
28,10.867,5.8,0.737806,0.333333,0.740917,0.333333
29,11.178,5.3,0.747395,0,0.749593,0
30,10.857,4.1,0.761009,0.333333,0.761779,0.333333
31,11.148,4.3,0.778129,0.571429,0.781631,0.571429
32,10.549,3.8,0.770928,0.333333,0.775145,0.333333
33,11.042,4.3,0.770904,0.3,0.773451,0.333333
34,11.568,3.9,0.778326,0.333333,0.781348,0.333333
35,11.118,4.4,0.77016,0.333333,0.771271,0.333333
36,11.615,4.2,0.770127,0.428571,0.771555,0.428571
37,10.947,4.9,0.745874,0.4,0.750269,0.4
38,11.526,3.4,0.747263,0.333333,0.754964,0.333333
39,10.887,4.7,0.744634,0.333333,0.752587,0.333333
40,11.034,4,0.761531,0.428571,0.768289,0.571429
41,10.543,4.4,0.758676,0.555556,0.766101,0.555556
42,11.386,5.6,0.773408,0.555556,0.778525,0.555556
43,11.015,3.4,0.754528,0.272727,0.759709,0.333333
44,11.052,4.8,0.74594,0,0.752339,0
45,10.947,4.6,0.755238,0.333333,0.763534,0.333333
46,11.434,3.4,0.754915,0.444444,0.7666,0.444444
47,10.578,4.2,0.761983,0.6,0.773827,0.6
48,11.797,4.8,0.763709,0.571429,0.769459,0.571429
49,11.346,5.7,0.768707,0.5,0.773207,0.5
50,10.924,4.2,0.783147,0.625,0.784966,0.625
51,10.801,5,0.781028,0.571429,0.785096,0.571429
52,11.395,4.4,0.789379,0.6,0.791217,0.6
53,11.266,4,0.793961,0.5,0.795925,0.625
54,11.307,5.2,0.779771,0.333333,0.784072,0.333333
55,11.318,4.8,0.779763,0.333333,0.791336,0.333333
56,11.479,5.2,0.793167,0.5,0.801685,0.5
57,11.226,4.1,0.798456,0.5,0.801267,0.5
58,11.604,5,0.774944,0.333333,0.785595,0.5
59,11.241,4.4,0.769238,0.5,0.776402,0.5
60,11.414,4.9,0.764536,0.5,0.771853,0.5
61,11.44,4.8,0.757278,0.4,0.769661,0.5
62,11.178,3.1,0.757168,0.25,0.770991,0.5
63,10.659,4.6,0.783078,0.5,0.786764,0.5
64,11.825,4.6,0.778388,0.5,0.782014,0.5
65,11.606,2.8,0.765121,0.375,0.769158,0.375
66,11.271,4.5,0.757012,0.25,0.760656,0.25
67,11.004,4.6,0.762544,0.333333,0.767127,0.333333
